,Grace,Late 1,Late 2,Default,Charged Off
January,0,0,0,0,0
February,40,8,0,0,0
March,42,20,0,0,0
April,23,10,29,0,0
May,6,11,51,0,0
June,15,0,60,0,0
July,42,22,41,10,17
August,56,6,43,18,32
September,50,20,43,0,60
October,60,13,56,5,63
November,62,49,54,0,90
December,49,42,115,0,93
January,37,19,155,0,93
February,55,18,142,8,98
March,56,1,86,19,158
April,83,44,52,0,210
May,44,26,94,0,154
June,45,4,126,0,247
July,47,0,119,0,279
August,75,22,47,30,295
September,69,19,23,3,268
October,85,83,68,0,372
November,113,20,102,0,360
December,62,15,46,10,206
