date	Grace	Late 1	Late 2	Default
20160101	0	0	0	0
20160201	40	8	0	0
20160301	42	20	0	0
20160401	23	10	29	0
20160501	6	11	51	0
20160601	15	0	60	0
20160701	42	22	41	10
20160801	56	6	43	18
20160901	50	20	43	0
20161001	60	13	56	5
20161101	62	49	54	0
20161201	49	42	115	0
20170101	37	19	155	0
20170201	55	18	142	8
20170301	56	1	86	19
20170401	83	44	52	0
20170501	44	26	94	0
20170601	45	4	126	0
20170701	47	0	119	0
20170801	75	22	47	30
20170901	69	19	23	3
20171001	85	83	68	0
20171101	113	20	102	0
20171201	62	15	46	10
